File,Codec,FFmpeg_Command
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep278.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep278.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep278.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep277.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep277.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep277.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep276.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep276.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep276.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep279.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep279.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep279.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep280.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep280.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep280.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep290.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep290.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep290.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep281.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep281.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep281.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep282.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep282.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep282.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep283.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep283.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep283.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep284.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep284.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep284.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep285.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep285.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep285.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep291.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep291.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep291.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep289.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep289.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep289.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep288.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep288.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep288.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep286.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep286.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep286.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep287.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep287.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep287.DVDRip.XviD_av1.mkv'
/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep292.DVDRip.XviD.avi,mpeg4,ffmpeg -i '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep292.DVDRip.XviD.avi' -map_metadata -1 -map 0:v:0 -c:v libsvtav1 -preset 4 -crf 32 -map 0:a:0? -c:a libopus -b:a 128k '/Volumes/Elements/Television/Prisoner Cell Block H/Prisoner.ep292.DVDRip.XviD_av1.mkv'
